User Input,Response,sentiment
it doesn't look very nice outside today.,you're right. i think it's going to rain later.,positive
you're right. i think it's going to rain later.,"in the middle of the summer, it shouldn't be raining.",neutral
"in the middle of the summer, it shouldn't be raining.",that wouldn't seem right.,neutral
that wouldn't seem right.,"considering that it's over ninety degrees outside, that would be weird.",negative
"considering that it's over ninety degrees outside, that would be weird.","exactly, it wouldn't be nice if it started raining. it's too hot.",negative
"exactly, it wouldn't be nice if it started raining. it's too hot.","i know, you're absolutely right.",positive
"i know, you're absolutely right.",i wish it would cool off one day.,neutral
i wish it would cool off one day.,"that's how i feel, i want winter to come soon.",positive
"that's how i feel, i want winter to come soon.","i enjoy the winter, but it gets really cold sometimes.",neutral
"i enjoy the winter, but it gets really cold sometimes.","i know what you mean, but i'd rather be cold than hot.",positive
"i know what you mean, but i'd rather be cold than hot.",that's exactly how i feel.,negative
i wish it was a nicer day today.,that is true. i hope it doesn't rain.,positive
that is true. i hope it doesn't rain.,it wouldn't rain in the middle of the summer.,positive
it wouldn't rain in the middle of the summer.,it wouldn't seem right if it started raining right now.,neutral
it wouldn't seem right if it started raining right now.,it would be weird if it started raining in ninety degree weather.,neutral
it would be weird if it started raining in ninety degree weather.,any rain right now would be pointless.,negative
any rain right now would be pointless.,"that's right, it really would be.",neutral
"that's right, it really would be.",i want it to cool down some.,positive
i want it to cool down some.,"i know what you mean, i can't wait until it's winter.",positive
"i know what you mean, i can't wait until it's winter.",winter is great. i wish it didn't get so cold sometimes though.,neutral
winter is great. i wish it didn't get so cold sometimes though.,i would rather deal with the winter than the summer.,positive
it's such a nice day.,"yes, it is.",positive
"yes, it is.",it looks like it may rain soon.,neutral
it looks like it may rain soon.,"yes, and i hope that it does.",neutral
"yes, and i hope that it does.",why is that?,positive
why is that?,i really love how rain clears the air.,neutral
i really love how rain clears the air.,me too. it always smells so fresh after it rains.,positive
me too. it always smells so fresh after it rains.,"yes, but i love the night air after it rains.",positive
"yes, but i love the night air after it rains.",really? why is it?,positive
really? why is it?,because you can see the stars perfectly.,neutral
because you can see the stars perfectly.,i really hope it rains today.,neutral
i really hope it rains today.,"yeah, me too.",positive
isn't it a nice day?,it really is.,positive
it really is.,it seems that it may rain today.,neutral
it seems that it may rain today.,hopefully it will.,neutral
hopefully it will.,how come?,positive
how come?,i like how clear the sky gets after it rains.,neutral
i like how clear the sky gets after it rains.,i feel the same way. it smells so good after it rains.,neutral
i feel the same way. it smells so good after it rains.,i especially love the night air when it rains.,positive
i especially love the night air when it rains.,really? why?,positive
really? why?,the stars look so much closer after it rains.,neutral
the stars look so much closer after it rains.,i really want it to rain today.,neutral
i really want it to rain today.,"yeah, so do i.",neutral
don't you think it's nice out?,"yes, i think so too.",positive
"yes, i think so too.",i think that it's going to rain.,neutral
i think that it's going to rain.,i hope that it does rain.,neutral
i hope that it does rain.,you like the rain?,positive
you like the rain?,the sky looks so clean after it rains. i love it.,positive
the sky looks so clean after it rains. i love it.,i understand. rain does make it smell cleaner.,positive
i understand. rain does make it smell cleaner.,i love most how it is at night after it rains.,positive
i love most how it is at night after it rains.,how come?,positive
how come?,you can see the stars so much more clearly after it rains.,neutral
you can see the stars so much more clearly after it rains.,i would love for it to rain today.,positive
i really want to go to the beach this weekend.,that sounds like fun. what's the weather going to be like?,neutral
that sounds like fun. what's the weather going to be like?,i heard that it's going to be warm this weekend.,positive
i heard that it's going to be warm this weekend.,is it going to be perfect beach weather?,neutral
is it going to be perfect beach weather?,i believe so.,positive
i believe so.,good. i hope it doesn't cool off this weekend.,positive
good. i hope it doesn't cool off this weekend.,i know. i really want to go to the beach.,positive
i know. i really want to go to the beach.,but you know that california weather is really unpredictable.,neutral
but you know that california weather is really unpredictable.,"you're right. one minute it's hot, and then the next minute it's cold.",neutral
"you're right. one minute it's hot, and then the next minute it's cold.",i really wish the weather would just stay the same.,neutral
i really wish the weather would just stay the same.,i do too. that way we can have our activities planned ahead of time.,positive
i do too. that way we can have our activities planned ahead of time.,"yeah, that would make things a lot easier.",neutral
i would like to take a trip to the beach this weekend.,a trip to the beach would be fun. how is the weather going to be?,neutral
a trip to the beach would be fun. how is the weather going to be?,the forecast says that it will be warm on the weekend.,positive
the forecast says that it will be warm on the weekend.,so do you think it'll be perfect weather for the beach?,neutral
so do you think it'll be perfect weather for the beach?,it sounds like it will be.,positive
it sounds like it will be.,i really hope it doesn't get cold.,positive
i really hope it doesn't get cold.,"that would ruin things, i want to go so badly.",positive
"that would ruin things, i want to go so badly.","the weather in california is unpredictable, so you never know.",negative
"the weather in california is unpredictable, so you never know.",that is true. the weather is constantly changing.,neutral
that is true. the weather is constantly changing.,it would be nice if the weather would never change.,neutral
it would be nice if the weather would never change.,"that would be great, then we could plan things sooner.",positive
"that would be great, then we could plan things sooner.",true. predictable weather would make life easier.,positive
it would be nice to go to the beach sometime this weekend.,what's the weather going to be like? i may want to go too.,positive
what's the weather going to be like? i may want to go too.,the weather this weekend is supposed to be warm.,negative
the weather this weekend is supposed to be warm.,will it be good beach weather?,negative
will it be good beach weather?,i think it will be.,positive
i think it will be.,it wouldn't be good if it got cold this weekend.,neutral
it wouldn't be good if it got cold this weekend.,"i want this trip to be perfect, i hope it stays warm.",positive
"i want this trip to be perfect, i hope it stays warm.","this california weather is so uncertain, it's impossible to know what'll happen.",positive
"this california weather is so uncertain, it's impossible to know what'll happen.",i know. every day the weather seems different.,negative
i know. every day the weather seems different.,i would love it if it wasn't always so unpredictable.,neutral
i would love it if it wasn't always so unpredictable.,that would make it easier for us to make plans.,positive
"hello, may i speak to alice please?",this is she. how's it going?,positive
this is she. how's it going?,i've been trying to call you all day.,neutral
i've been trying to call you all day.,sorry about that. i was cleaning up.,neutral
sorry about that. i was cleaning up.,it's okay.,negative
it's okay.,so what were you calling me about?,neutral
so what were you calling me about?,"oh, i just wanted to see if you wanted to hang out tomorrow.",negative
"oh, i just wanted to see if you wanted to hang out tomorrow.","sure, what did you want to do?",neutral
"sure, what did you want to do?",maybe we can go see a movie or something.,neutral
maybe we can go see a movie or something.,that sounds like fun. let's do it.,neutral
that sounds like fun. let's do it.,i'll see you tomorrow then.,positive
i'll see you tomorrow then.,see you then. goodbye.,neutral
"hi, how are you. is alice there?",speaking. what's up?,neutral
speaking. what's up?,why haven't you answered the phone?,neutral
why haven't you answered the phone?,"my bad, i had chores to do.",neutral
"my bad, i had chores to do.",that's all right.,negative
that's all right.,what was the reason for your call?,neutral
what was the reason for your call?,i want to do something tomorrow with you.,neutral
i want to do something tomorrow with you.,sounds good. what did you have in mind?,neutral
sounds good. what did you have in mind?,i was thinking about seeing a movie.,positive
i was thinking about seeing a movie.,"okay, let's go see a movie.",neutral
"okay, let's go see a movie.",until then.,positive
until then.,talk to you later.,neutral
is alice available?,you're talking to her.,neutral
you're talking to her.,i've called you a hundred times today.,neutral
i've called you a hundred times today.,i was busy doing something. i apologize.,neutral
i was busy doing something. i apologize.,no problem.,neutral
no problem.,did you need something?,negative
did you need something?,do you want to do something tomorrow?,neutral
do you want to do something tomorrow?,is there somewhere special you wanted to go?,neutral
is there somewhere special you wanted to go?,how about a movie?,neutral
how about a movie?,a movie sounds good.,neutral
a movie sounds good.,call me tomorrow then.,positive
have you seen the new girl in school?,"no, i haven't.",neutral
"no, i haven't.",she's really pretty.,negative
she's really pretty.,describe her to me.,positive
describe her to me.,she's not too tall.,neutral
she's not too tall.,"well, how tall is she?",neutral
"well, how tall is she?",she's about five feet even.,neutral
she's about five feet even.,"what does she look like, though?",neutral
"what does she look like, though?",she has pretty light brown eyes.,neutral
she has pretty light brown eyes.,i may know which girl you're talking about.,neutral
i may know which girl you're talking about.,so you have seen her around?,neutral
so you have seen her around?,"yes, i have.",neutral
"there's a new girl in school, have you seen her yet?",i haven't seen her yet.,neutral
i haven't seen her yet.,i think that she is very pretty.,neutral
i think that she is very pretty.,tell me how she looks.,positive
tell me how she looks.,she's kind of short.,neutral
she's kind of short.,what height is she?,neutral
what height is she?,she's probably about five feet.,negative
she's probably about five feet.,"that's nice, but tell me what she looks like.",neutral
"that's nice, but tell me what she looks like.",the first thing i noticed was her beautiful brown eyes.,positive
the first thing i noticed was her beautiful brown eyes.,i think i might've bumped into her before.,positive
i think i might've bumped into her before.,are you telling me that you've seen her before?,neutral
are you telling me that you've seen her before?,i believe so.,neutral
have you met the new girl?,no. have you?,neutral
no. have you?,she's one of the prettiest girls at the school.,neutral
she's one of the prettiest girls at the school.,what does she look like?,neutral
what does she look like?,"well, she's quite short.",neutral
"well, she's quite short.",how tall would you say that she is?,positive
how tall would you say that she is?,i would say she's only five feet.,neutral
i would say she's only five feet.,what about her facial features?,neutral
what about her facial features?,"she has light brown eyes, absolutely beautiful.",neutral
"she has light brown eyes, absolutely beautiful.",i think i know who you're talking about.,positive
i think i know who you're talking about.,have you seen her?,neutral
why weren't you at school yesterday?,i wasn't really feeling well.,neutral
i wasn't really feeling well.,what was wrong with you?,negative
what was wrong with you?,my stomach was upset.,negative
my stomach was upset.,do you feel better now?,negative
do you feel better now?,i don't really feel too well yet.,positive
i don't really feel too well yet.,do you want anything to make you feel better?,negative
do you want anything to make you feel better?,"no, thanks. i already took some medicine.",suicide
"no, thanks. i already took some medicine.",i hope you feel better.,positive
i hope you feel better.,thank you.,positive
what reason do you have for missing school?,i was sick.,negative
i was sick.,how were you sick?,negative
how were you sick?,i had a stomachache.,negative
i had a stomachache.,did it get any better?,neutral
did it get any better?,i'm still feeling under the weather.,neutral
i'm still feeling under the weather.,would you like anything for your stomach?,negative
would you like anything for your stomach?,i took something earlier.,positive
i took something earlier.,get better.,neutral
get better.,thanks a lot.,positive
why didn't you go to school yesterday?,i stayed home because i wasn't feeling well.,neutral
i stayed home because i wasn't feeling well.,what was your problem?,negative
what was your problem?,my stomach was bothering me.,negative
my stomach was bothering me.,are you feeling any better?,negative
are you feeling any better?,i'm still feeling a little sick.,suicide
i'm still feeling a little sick.,"i'm going to the store, would you like any pepto bismol?",negative
"i'm going to the store, would you like any pepto bismol?",that's okay.,neutral
that's okay.,i hope you feel better.,neutral
did you hear the good news?,"no, i haven't.",positive
"no, i haven't.",i got a promotion at my job.,negative
i got a promotion at my job.,did you really?,neutral
did you really?,"seriously, i am so excited.",neutral
"seriously, i am so excited.","well, congratulations.",positive
"well, congratulations.",thank you.,positive
thank you.,i'm so happy for you.,positive
i'm so happy for you.,really?,positive
really?,yes. you really deserved this.,neutral
yes. you really deserved this.,you think so?,positive
you think so?,yes. good for you.,neutral
have you heard my good news?,you haven't told me anything yet.,positive
you haven't told me anything yet.,i got a promotion at work earlier this week.,neutral
i got a promotion at work earlier this week.,is that right?,neutral
is that right?,it's the truth. i am really happy.,neutral
it's the truth. i am really happy.,congratulations on your promotion.,positive
congratulations on your promotion.,thank you very much.,positive
thank you very much.,i am really excited for you.,positive
i am really excited for you.,are you really?,positive
are you really?,i'm serious. you deserved this promotion.,positive
i'm serious. you deserved this promotion.,is that what you really think?,suicide
is that what you really think?,"yes, i do.",neutral
"i haven't told you what happened yet, have i?",i haven't heard anything.,neutral
i haven't heard anything.,"my boss offered me a promotion, and i took it.",neutral
"my boss offered me a promotion, and i took it.",are you serious?,negative
are you serious?,"yes, i am really excited.",negative
"yes, i am really excited.",that's great. congratulations.,positive
that's great. congratulations.,i appreciate that.,positive
i appreciate that.,you have no idea how happy i am for you.,positive
you have no idea how happy i am for you.,for real?,positive
you look really nice today. ,thank you. i just got this outfit the other day.,positive
thank you. i just got this outfit the other day.,"really, where did you get it?",positive
"really, where did you get it?",i got it from macy's.,neutral
i got it from macy's.,it's really nice.,neutral
it's really nice.,"thanks again. you look nice today, too.",positive
"thanks again. you look nice today, too.",thank you. i just got these shoes today.,positive
thank you. i just got these shoes today.,really? what kind of shoes are they?,positive
really? what kind of shoes are they?,these are called all star chuck taylors.,neutral
these are called all star chuck taylors.,i really like those. how much did they cost?,neutral
i really like those. how much did they cost?,they were about forty dollars.,neutral
they were about forty dollars.,i think i'm going to go buy myself a pair.,neutral
i absolutely love what you're wearing today.,you do? i just bought this outfit a couple days ago.,positive
you do? i just bought this outfit a couple days ago.,"seriously, it looks really nice on you. where did you buy it from?",neutral
"seriously, it looks really nice on you. where did you buy it from?",i bought it from the macy's at the santa anita mall.,positive
i bought it from the macy's at the santa anita mall.,i really like that outfit.,positive
i really like that outfit.,"thanks. i think you look nice today, too.",positive
"thanks. i think you look nice today, too.",thank you. i just bought these new shoes earlier today.,positive
thank you. i just bought these new shoes earlier today.,those are nice. what are they?,positive
those are nice. what are they?,these are some chucks.,positive
these are some chucks.,those are great. how much were they?,neutral
those are great. how much were they?,i got them for forty.,positive
i got them for forty.,i think i might go and find me my own pair of chucks.,neutral
i think that you look very cute today.,is that right? this is a brand new outfit.,positive
is that right? this is a brand new outfit.,what store did you get it from?,neutral
what store did you get it from?,i went to macy's and picked it out.,neutral
i went to macy's and picked it out.,i love your outfit right now.,neutral
i love your outfit right now.,"well, i think you look nice today too.",positive
"well, i think you look nice today too.",thanks. i found these new shoes earlier at the store.,positive
thanks. i found these new shoes earlier at the store.,i think that those are some really nice shoes. what kind are they?,positive
i think that those are some really nice shoes. what kind are they?,these are chucks.,positive
these are chucks.,your shoes look really nice. how much did you get them for?,neutral
your shoes look really nice. how much did you get them for?,they only cost me about forty dollars.,positive
"tell me, what do you enjoy doing in your spare time?",i enjoy drawing and painting.,positive
i enjoy drawing and painting.,you know how to draw and paint?,positive
you know how to draw and paint?,"yes, i do.",neutral
"yes, i do.",when did you learn how to do that?,neutral
when did you learn how to do that?,i learned back in high school.,neutral
i learned back in high school.,"oh, so you took an art class?",neutral
"oh, so you took an art class?","yeah, i loved that class.",neutral
"yeah, i loved that class.",i see that you're pretty talented.,positive
i see that you're pretty talented.,thank you very much.,positive
thank you very much.,i wish i had a talent like that.,positive
i wish i had a talent like that.,i'm sure you have a talent. it's just hidden.,positive
what kinds of things do you like to do?,i've always liked to draw and paint.,neutral
i've always liked to draw and paint.,i didn't know you knew how to draw and paint.,positive
i didn't know you knew how to draw and paint.,i do it every once in a while.,neutral
i do it every once in a while.,how long have you known how to do that?,neutral
how long have you known how to do that?,i first learned how to do it in high school.,neutral
i first learned how to do it in high school.,did you take some sort of art class or something?,neutral
did you take some sort of art class or something?,that was my favorite class.,neutral
that was my favorite class.,you have got to be talented.,positive
you have got to be talented.,thanks.,positive
thanks.,if only i was talented.,positive
if only i was talented.,you have a talent. you just don't know what it is yet.,positive
are there any hobbies you do?,"when i have time, i sometimes draw and paint.",neutral
"when i have time, i sometimes draw and paint.","oh, you actually do that?",neutral
"oh, you actually do that?","every so often, i do.",neutral
"every so often, i do.",did you always know how to draw and paint?,neutral
did you always know how to draw and paint?,i was taught in high school how to draw and paint.,neutral
i was taught in high school how to draw and paint.,you had an art class?,neutral
you had an art class?,"exactly, it was my favorite class.",neutral
"exactly, it was my favorite class.","well, it's good that you're so talented.",positive
"well, it's good that you're so talented.",i appreciate that.,positive
i appreciate that.,"talent is a great thing, i wish i had one.",positive
what's your favorite movie?,my favorite movie is superbad.,positive
my favorite movie is superbad.,"oh, why is that?",positive
"oh, why is that?",it's the funniest movie that i've ever seen.,neutral
it's the funniest movie that i've ever seen.,that's true. it is a very funny movie.,neutral
that's true. it is a very funny movie.,you've seen it before? ,positive
you've seen it before? ,"yes, i saw that movie the first day it came out in theaters.",neutral
"yes, i saw that movie the first day it came out in theaters.",didn't you laugh through the whole movie? i did.,neutral
didn't you laugh through the whole movie? i did.,me too. that movie brought tears to my eyes.,neutral
me too. that movie brought tears to my eyes.,mine too.,neutral
mine too.,i have it on dvd at my house if you want to come over and watch it.,neutral
i have it on dvd at my house if you want to come over and watch it.,"sure, let's go.",neutral
which movie is your favorite to watch?,"i have to say, my favorite movie is superbad.",positive
"i have to say, my favorite movie is superbad.",is that right? why?,positive
is that right? why?,"honestly, it is one of the funniest movies i've seen in a long time.",neutral
"honestly, it is one of the funniest movies i've seen in a long time.",you're right. that movie is hilarious.,neutral
you're right. that movie is hilarious.,i didn't think you saw that movie.,positive
i didn't think you saw that movie.,i went to see it the day it came out.,neutral
i went to see it the day it came out.,i was laughing through the whole movie.,neutral
i was laughing through the whole movie.,"i couldn't help laughing, either. ",neutral
"i couldn't help laughing, either. ",same here.,positive
same here.,i bought the movie. would you like to come to my house and watch it?,neutral
i bought the movie. would you like to come to my house and watch it?,of course.,positive
"out of every movie that you've seen, which one is your favorite?",i'm going to have to say that superbad is the best movie ever.,positive
i'm going to have to say that superbad is the best movie ever.,"you think so, how come?",positive
"you think so, how come?","well, superbad is super funny.",neutral
"well, superbad is super funny.","you're not lying, i found that movie absolutely hilarious.",positive
"you're not lying, i found that movie absolutely hilarious.",i didn't know that you saw superbad before.,positive
i didn't know that you saw superbad before.,i made sure to be in line to see it the first day it came out.,neutral
i made sure to be in line to see it the first day it came out.,i couldn't keep from laughing throughout the whole movie.,neutral
i couldn't keep from laughing throughout the whole movie.,i was laughing hysterically the whole time; my stomach muscles hurt afterwards.,neutral
i was laughing hysterically the whole time; my stomach muscles hurt afterwards.,that's exactly how i felt.,negative
that's exactly how i felt.,"i got the movie when it came out on dvd, do you want to come over?",neutral
what type of music do you like to listen to?,i like listening to different kinds of music.,positive
i like listening to different kinds of music.,"like what, for instance?",positive
"like what, for instance?",i enjoy rock and r&b.,neutral
i enjoy rock and r&b.,why is that?,positive
why is that?,i like the different instruments that they use.,neutral
i like the different instruments that they use.,that's a good reason to like something.,neutral
that's a good reason to like something.,"yeah, i think so too.",positive
what kind of music do you enjoy listening to?,i enjoy listening to all kinds of music.,positive
i enjoy listening to all kinds of music.,what kind?,positive
what kind?,i like to listen to rock and r&b.,neutral
i like to listen to rock and r&b.,why do you like that type of music?,positive
why do you like that type of music?,i like the kinds of instruments that they use.,neutral
i like the kinds of instruments that they use.,i think that's an excellent reason to like something.,neutral
i think that's an excellent reason to like something.,"thanks, i feel the same way.",positive
what is your favorite kind of music?,i listen to various types of music.,positive
i listen to various types of music.,what genres?,negative
what genres?,i enjoy listening to both rock and r&b.,neutral
i enjoy listening to both rock and r&b.,what interests you in that type of music?,positive
what interests you in that type of music?,i enjoy the different types of instruments that they use.,positive
i enjoy the different types of instruments that they use.,that is a perfect reason to like a certain kind of music.,positive
did you go to the basketball game on friday?,"no, i couldn't make it.",neutral
"no, i couldn't make it.",you missed a really good game.,negative
you missed a really good game.,"oh, really? who won?",negative
"oh, really? who won?",our school did. they played really well.,positive
our school did. they played really well.,too bad i was busy. i really wanted to go.,positive
too bad i was busy. i really wanted to go.,"yeah, you should have. it was really exciting.",negative
"yeah, you should have. it was really exciting.",so what was the score?,positive
so what was the score?,the score was 101-98.,neutral
the score was 101-98.,"man, that was a really close game.",neutral
"man, that was a really close game.",that's what made it so great.,negative
that's what made it so great.,i'll make sure and make it to the next one.,positive
were you able to attend friday night's basketball game?,i was unable to make it.,neutral
i was unable to make it.,you should have been there. it was intense.,neutral
you should have been there. it was intense.,is that right. who ended up winning?,neutral
is that right. who ended up winning?,our team was victorious.,neutral
our team was victorious.,i wish i was free that night. i'm kind of mad that i didn't go.,positive
i wish i was free that night. i'm kind of mad that i didn't go.,it was a great game.,positive
it was a great game.,what was the score at the end of the game?,positive
what was the score at the end of the game?,our team won 101-98.,suicide
our team won 101-98.,sounds like it was a close game.,positive
sounds like it was a close game.,that's the reason it was such a great game.,positive
that's the reason it was such a great game.,"the next game, i will definitely be there.",positive
i was meaning to ask you if you saw the basketball game on friday.,"i wanted to go, but i couldn't.",neutral
"i wanted to go, but i couldn't.",it was a great game.,neutral
it was a great game.,it's too bad that i couldn't make it. who won?,positive
it's too bad that i couldn't make it. who won?,our team played hard and won.,negative
our team played hard and won.,i really wish i went to the game.,neutral
i really wish i went to the game.,it was the best game ever.,positive
it was the best game ever.,so tell me the final score.,positive
so tell me the final score.,"the other team lost by three points, 101-98. ",neutral
"the other team lost by three points, 101-98. ",it must've been a close game.,neutral
it must've been a close game.,it really was. you should've gone.,neutral
what are you doing this weekend?,i'm going to the movies with a friend. how about you?,neutral
i'm going to the movies with a friend. how about you?,i'm not sure yet.,neutral
i'm not sure yet.,"well, did you want to go see a movie with me?",neutral
"well, did you want to go see a movie with me?",what movie are you going to see?,neutral
what movie are you going to see?,i'm not sure yet. is there something you want to see?,neutral
i'm not sure yet. is there something you want to see?,there's nothing i can think of.,neutral
there's nothing i can think of.,"so, did you want to go?",suicide
"so, did you want to go?","no, thanks, maybe another time.",neutral
"no, thanks, maybe another time.","okay, sounds good.",positive
do you know what you're going to do this weekend?,i am going to see a movie with a friend of mine. what about you?,neutral
i am going to see a movie with a friend of mine. what about you?,i don't know.,neutral
i don't know.,would you like to see a movie with me and my friend?,neutral
would you like to see a movie with me and my friend?,do you know what movie you're going to watch?,neutral
do you know what movie you're going to watch?,"i don't know, but was there a certain movie you wanted to see?",neutral
"i don't know, but was there a certain movie you wanted to see?",none that i can think of.,neutral
none that i can think of.,"well, would you like to go?",neutral
"well, would you like to go?","thank you for inviting me, but i think i'll pass.",positive
"thank you for inviting me, but i think i'll pass.",all right. another time then.,positive
you have any ideas as to what you want to do this weekend?,i'm going to the movie theater with my friend. what are you going to do?,neutral
i'm going to the movie theater with my friend. what are you going to do?,i'm not quite sure yet.,neutral
i'm not quite sure yet.,how about you see a movie with me and my friend?,neutral
how about you see a movie with me and my friend?,what movie are you and your friend planning on watching?,neutral
what movie are you and your friend planning on watching?,not sure. is there a movie out that catches your eye?,neutral
not sure. is there a movie out that catches your eye?,no good movies come to mind.,neutral
no good movies come to mind.,have you decided whether or not you would like to go?,positive
have you decided whether or not you would like to go?,"no, thanks. maybe another time.",neutral
did you go to school today?,"yeah, i went to school today. were you there?",neutral
"yeah, i went to school today. were you there?","no, i didn't go, i've been sick.",neutral
"no, i didn't go, i've been sick.",that sucks. did you want the assignments from english class?,negative
that sucks. did you want the assignments from english class?,"that would be nice, thank you.",negative
"that would be nice, thank you.","no problem, you're welcome.",positive
"no problem, you're welcome.",i will be glad to do the same for you when you're sick.,positive
i will be glad to do the same for you when you're sick.,"well, thank you. i hope to see you at school tomorrow.",positive
have you attended school today?,i attended school today. did you?,neutral
i attended school today. did you?,i wasn't able to attend school because i was feeling ill.,neutral
i wasn't able to attend school because i was feeling ill.,i'm sorry to hear that. would you like the assignments from english class?,negative
i'm sorry to hear that. would you like the assignments from english class?,"i would really appreciate that, thanks.",negative
"i would really appreciate that, thanks.",it's no trouble at all.,positive
it's no trouble at all.,"if you get sick, i'll return the favor.",negative
"if you get sick, i'll return the favor.",thanks. see you at school tomorrow if you feel better.,negative
have you gone to school today?,i went to school today. did you go to school?,neutral
i went to school today. did you go to school?,"i couldn't go to school today, i was sick.",neutral
"i couldn't go to school today, i was sick.",that's horrible. i'd be happy to give you the assignments from english class.,negative
that's horrible. i'd be happy to give you the assignments from english class.,"thank you very much, that's kind of you.",negative
"thank you very much, that's kind of you.",don't mention it.,positive
don't mention it.,"when you miss a day of school, i'll be happy to give you the english assignments.",neutral
did you hear the news?,what happened?,neutral
what happened?,our cousin went into labor and had her baby last week.,neutral
our cousin went into labor and had her baby last week.,she did? why didn't anyone tell me?,neutral
she did? why didn't anyone tell me?,i would've thought that somebody would have told you.,neutral
i would've thought that somebody would have told you.,"no, i had no idea.",neutral
"no, i had no idea.","well, she did, her baby was 8 pounds 6 ounces.",negative
"well, she did, her baby was 8 pounds 6 ounces.","oh my god, that's great!",positive
"oh my god, that's great!",are you going to go and visit her and the baby?,positive
are you going to go and visit her and the baby?,i think that i might.,neutral
i think that i might.,good! i just thought i'd let you know.,neutral
good! i just thought i'd let you know.,thanks for telling me.,positive
have you heard what happened?,heard what?,neutral
heard what?,debrah already had her baby.,neutral
debrah already had her baby.,i didn't know that.,neutral
i didn't know that.,i thought you knew.,neutral
i thought you knew.,i honestly didn't know.,neutral
i honestly didn't know.,the baby was 8 pounds 6 ounces.,neutral
the baby was 8 pounds 6 ounces.,that's good to hear.,positive
that's good to hear.,will you go and visit them?,positive
will you go and visit them?,of course i will.,neutral
of course i will.,i just wanted to give you the good news.,neutral
i just wanted to give you the good news.,thanks for letting me know.,positive
have you heard the news?,i haven't heard anything.,neutral
i haven't heard anything.,debrah had her baby last week.,neutral
debrah had her baby last week.,nobody told me.,neutral
nobody told me.,i thought you heard.,suicide
i thought you heard.,i really wasn't told anything.,neutral
i really wasn't told anything.,she was a cute 8 pounds 6 ounces.,neutral
she was a cute 8 pounds 6 ounces.,"wow, how exciting.",positive
"wow, how exciting.","i know, you should really go and see her and the baby.",positive
"i know, you should really go and see her and the baby.",of course i will.,neutral
of course i will.,i just wanted to let you know what happened.,neutral
did you go to school today?,of course. did you?,neutral
of course. did you?,"i didn't want to, so i didn't.",neutral
"i didn't want to, so i didn't.","that's sad, but have you gone to the movies recently?",negative
"that's sad, but have you gone to the movies recently?",that's a switch.,negative
that's a switch.,"i'm serious, have you?",neutral
"i'm serious, have you?","no, i haven't. why?",negative
"no, i haven't. why?",i really want to go to the movies this weekend.,negative
i really want to go to the movies this weekend.,so go then.,neutral
so go then.,i really don't want to go by myself.,neutral
i really don't want to go by myself.,"well anyway, do you plan on going to school tomorrow?",suicide
"well anyway, do you plan on going to school tomorrow?","no, i think i'm going to go to the movies.",neutral
did you make it to school today?,i always do. did you go to school today?,neutral
i always do. did you go to school today?,"no, i didn't.",neutral
"no, i didn't.","you should have, but have you seen any movies lately?",negative
"you should have, but have you seen any movies lately?",that was an odd change of subject.,neutral
that was an odd change of subject.,"maybe it was, but answer the question.",neutral
